full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,drums/PredDecibel,drums/SNR,drums/SignalNoiseRatio,drums/TargetDecibel,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,other/PredDecibel,other/SNR,other/SignalNoiseRatio,other/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-24.892425537109375,10.622716903686523,10.622716903686523,-24.617992401123047,-23.51633071899414,5.644411087036133,5.644411087036133,-22.046003341674805,-24.04129409790039,-0.5646724700927734,-0.5646724700927734,-26.434402465820312,-28.560483932495117,0.8470481634140015,0.8470481634140015,-24.678516387939453,0l0r6gav,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-23.469463348388672,7.03459358215332,7.03459358215332,-22.769804000854492,-28.580997467041016,5.018397808074951,5.018397808074951,-27.202722549438477,-26.573436737060547,6.598638534545898,6.598638534545898,-25.54774284362793,-26.70961570739746,2.1852221488952637,2.1852221488952637,-26.306720733642578,0l0r6gav,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-23.20216178894043,9.703027725219727,9.703027725219727,-22.894981384277344,-27.60037612915039,5.7906904220581055,5.7906904220581055,-25.681669235229492,-27.061542510986328,5.709955215454102,5.709955215454102,-26.8328857421875,-23.05712890625,6.743812561035156,6.743812561035156,-22.54554557800293,0l0r6gav,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-25.69116973876953,10.097297668457031,10.097297668457031,-25.338279724121094,-23.03550910949707,0.5580018162727356,0.5580018162727356,-25.532638549804688,-19.38804054260254,3.428373336791992,3.428373336791992,-20.621871948242188,-28.80124282836914,0.8887813091278076,0.8887813091278076,-20.09284019470215,0l0r6gav,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-27.422000885009766,6.251370906829834,6.251370906829834,-27.117050170898438,-22.574256896972656,10.73263168334961,10.73263168334961,-22.20934295654297,-25.89749526977539,7.780745983123779,7.780745983123779,-25.083831787109375,-25.93438720703125,4.749144554138184,4.749144554138184,-25.261470794677734,0l0r6gav,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-25.689552307128906,10.93783187866211,10.93783187866211,-25.467731475830078,-25.24447250366211,8.901664733886719,8.901664733886719,-24.675865173339844,-24.604061126708984,10.54051399230957,10.54051399230957,-24.13593101501465,-28.205339431762695,5.69246768951416,5.69246768951416,-27.41593360900879,0l0r6gav,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-30.3410701751709,5.005073547363281,5.005073547363281,-29.235307693481445,-27.20144271850586,8.549707412719727,8.549707412719727,-26.521894454956055,-27.486021041870117,8.988077163696289,8.988077163696289,-27.389869689941406,-27.741588592529297,5.062695503234863,5.062695503234863,-26.9068546295166,0l0r6gav,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-27.40812110900879,9.392067909240723,9.392067909240723,-27.137468338012695,-29.222469329833984,6.255067825317383,6.255067825317383,-27.93985366821289,-25.02862548828125,4.394491195678711,4.394491195678711,-25.84140396118164,-28.2334041595459,3.8583950996398926,3.8583950996398926,-25.35013198852539,0l0r6gav,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-27.77143096923828,3.1113123893737793,3.1113123893737793,-27.692447662353516,-21.71502113342285,11.458505630493164,11.458505630493164,-21.070451736450195,-24.481365203857422,7.9289350509643555,7.9289350509643555,-24.466747283935547,-25.302865982055664,5.241235733032227,5.241235733032227,-23.708232879638672,0l0r6gav,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-24.56892204284668,6.264711380004883,6.264711380004883,-23.441585540771484,-27.32183074951172,6.594404220581055,6.594404220581055,-26.205772399902344,-33.37438201904297,2.010701894760132,2.010701894760132,-32.642887115478516,-23.926185607910156,5.268734931945801,5.268734931945801,-23.81349754333496,0l0r6gav,MUSDB18HQDatasource
