full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,drums/PredDecibel,drums/SNR,drums/SignalNoiseRatio,drums/TargetDecibel,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,other/PredDecibel,other/SNR,other/SignalNoiseRatio,other/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-25.44969940185547,7.896119594573975,7.896119594573975,-24.617992401123047,-24.50335693359375,4.06660270690918,4.06660270690918,-22.046003341674805,-24.016931533813477,-0.8251608610153198,-0.8251608610153198,-26.434402465820312,-26.87666893005371,-0.1390639692544937,-0.1390639692544937,-24.678516387939453,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-24.294736862182617,5.011570930480957,5.011570930480957,-22.769804000854492,-30.337242126464844,2.8130602836608887,2.8130602836608887,-27.202722549438477,-27.049972534179688,5.149279594421387,5.149279594421387,-25.54774284362793,-24.81501579284668,0.5066393613815308,0.5066393613815308,-26.306720733642578,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-23.462810516357422,7.73160457611084,7.73160457611084,-22.894981384277344,-30.5166015625,2.1236534118652344,2.1236534118652344,-25.681669235229492,-26.169233322143555,1.8291964530944824,1.8291964530944824,-26.8328857421875,-22.722646713256836,4.789247512817383,4.789247512817383,-22.545547485351562,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-25.93858528137207,6.334325790405273,6.334325790405273,-25.338279724121094,-24.931785583496094,0.16033482551574707,0.16033482551574707,-25.532638549804688,-20.30088233947754,3.2554893493652344,3.2554893493652344,-20.621871948242188,-25.69532012939453,1.987734079360962,1.987734079360962,-20.09284019470215,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-29.722309112548828,1.5160202980041504,1.5160202980041504,-27.117050170898438,-23.422245025634766,6.7088470458984375,6.7088470458984375,-22.20934295654297,-33.19560623168945,1.1473414897918701,1.1473414897918701,-25.08383560180664,-22.781667709350586,-0.7052776217460632,-0.7052776217460632,-25.261470794677734,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-25.801496505737305,8.462570190429688,8.462570190429688,-25.467731475830078,-27.273672103881836,4.254556655883789,4.254556655883789,-24.675865173339844,-24.58470344543457,6.184089660644531,6.184089660644531,-24.13593101501465,-27.750045776367188,3.7538461685180664,3.7538461685180664,-27.41593360900879,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-31.14630126953125,3.531111478805542,3.531111478805542,-29.235307693481445,-27.471914291381836,5.709897994995117,5.709897994995117,-26.521894454956055,-27.44068145751953,6.228851795196533,6.228851795196533,-27.389869689941406,-27.4007625579834,4.1054182052612305,4.1054182052612305,-26.9068546295166,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-27.7540225982666,7.309131145477295,7.309131145477295,-27.137468338012695,-29.58631134033203,4.142803192138672,4.142803192138672,-27.93985366821289,-25.53470802307129,4.009858131408691,4.009858131408691,-25.84140396118164,-28.460866928100586,3.4000494480133057,3.4000494480133057,-25.35013198852539,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-29.412853240966797,3.2162816524505615,3.2162816524505615,-27.692447662353516,-22.335350036621094,8.27356243133545,8.27356243133545,-21.070451736450195,-24.9040584564209,4.9957075119018555,4.9957075119018555,-24.466747283935547,-24.4344425201416,4.4410400390625,4.4410400390625,-23.708232879638672,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-24.767972946166992,5.168704032897949,5.168704032897949,-23.441585540771484,-30.3753662109375,2.976839065551758,2.976839065551758,-26.205772399902344,-30.73746681213379,-0.8518049716949463,-0.8518049716949463,-32.642887115478516,-23.772106170654297,3.8673629760742188,3.8673629760742188,-23.813495635986328,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Cristina Vane - So Easy.npz,-25.15262222290039,6.926606178283691,6.926606178283691,-24.36704444885254,-32.8614387512207,0.8615235090255737,0.8615235090255737,-22.708694458007812,-24.37053680419922,-3.6413636207580566,-3.6413636207580566,-27.728858947753906,-25.053682327270508,1.3239092826843262,1.3239092826843262,-26.025558471679688,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Detsky Sad - Walkie Talkie.npz,-25.581218719482422,1.9152603149414062,1.9152603149414062,-26.87833023071289,-23.568721771240234,3.353851079940796,3.353851079940796,-20.150196075439453,-35.03955078125,-0.33196020126342773,-0.33196020126342773,-30.63587188720703,-22.64057159423828,0.07292962819337845,0.07292962819337845,-24.691608428955078,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Enda Reilly - Cur An Long Ag Seol.npz,-23.998157501220703,7.945992469787598,7.945992469787598,-23.574514389038086,-31.90383529663086,0.9794514775276184,0.9794514775276184,-23.869918823242188,-22.02836799621582,0.12220332026481628,0.12220332026481628,-24.61058807373047,-25.558414459228516,5.616787910461426,5.616787910461426,-24.645771026611328,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Forkupines - Semantics.npz,-27.681238174438477,5.340388298034668,5.340388298034668,-26.33904266357422,-20.334274291992188,9.341211318969727,9.341211318969727,-19.831039428710938,-30.759248733520508,2.393019914627075,2.393019914627075,-27.0882625579834,-23.680179595947266,3.724818468093872,3.724818468093872,-23.734025955200195,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Georgia Wonder - Siren.npz,-28.368833541870117,3.442047357559204,3.442047357559204,-25.780202865600586,-24.874073028564453,5.433829307556152,5.433829307556152,-23.676652908325195,-24.416561126708984,5.395543098449707,5.395543098449707,-23.65856170654297,-23.992599487304688,3.9007554054260254,3.9007554054260254,-23.704723358154297,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Girls Under Glass - We Feel Alright.npz,-29.978286743164062,3.728438377380371,3.728438377380371,-29.252532958984375,-25.057723999023438,4.256350994110107,4.256350994110107,-22.09095001220703,-23.998123168945312,1.6329357624053955,1.6329357624053955,-23.435840606689453,-24.201740264892578,5.077248573303223,5.077248573303223,-23.63784408569336,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Hollow Ground - Ill Fate.npz,-27.60024642944336,2.8740477561950684,2.8740477561950684,-28.444293975830078,-30.403215408325195,2.539172649383545,2.539172649383545,-25.491121292114258,-24.31464958190918,-0.41494911909103394,-0.41494911909103394,-24.077234268188477,-21.81902313232422,3.411911725997925,3.411911725997925,-19.13758087158203,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/James Elder & Mark M Thompson - The English Actor.npz,-24.908811569213867,6.530612468719482,6.530612468719482,-24.045074462890625,-27.721885681152344,6.179741859436035,6.179741859436035,-26.13935661315918,-30.786840438842773,4.088393688201904,4.088393688201904,-29.303224563598633,-23.621387481689453,4.7415618896484375,4.7415618896484375,-23.248004913330078,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Juliet's Rescue - Heartbeats.npz,-26.765459060668945,6.2186279296875,6.2186279296875,-26.170616149902344,-21.643577575683594,8.971210479736328,8.971210479736328,-21.280920028686523,-33.21881866455078,1.129900336265564,1.129900336265564,-29.020580291748047,-24.323516845703125,3.9578371047973633,3.9578371047973633,-23.506267547607422,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Little Chicago's Finest - My Own.npz,-29.21120834350586,6.303388595581055,6.303388595581055,-28.040977478027344,-25.393207550048828,5.846320152282715,5.846320152282715,-22.535297393798828,-34.249000549316406,1.595113754272461,1.595113754272461,-33.86530303955078,-28.892330169677734,-4.121789455413818,-4.121789455413818,-33.83903121948242,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Louis Cressy Band - Good Time.npz,-27.582839965820312,4.281248569488525,4.281248569488525,-28.216461181640625,-27.250072479248047,4.4242143630981445,4.4242143630981445,-24.71316909790039,-30.68390655517578,3.1287753582000732,3.1287753582000732,-28.876697540283203,-24.16550064086914,5.210757255554199,5.210757255554199,-23.726167678833008,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Lyndsey Ollard - Catching Up.npz,-25.99322509765625,12.125062942504883,12.125062942504883,-25.83230972290039,-31.99049949645996,5.053585529327393,5.053585529327393,-30.796585083007812,-32.34910583496094,5.447543144226074,5.447543144226074,-32.517738342285156,-31.08185577392578,4.8359174728393555,4.8359174728393555,-29.74396514892578,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/M.E.R.C.npz,-24.64946937561035,6.262966156005859,6.262966156005859,-23.811355590820312,-29.847362518310547,2.956796646118164,2.956796646118164,-25.595109939575195,-27.306520462036133,0.5374980568885803,0.5374980568885803,-29.60457992553711,-26.853178024291992,2.455681324005127,2.455681324005127,-26.371723175048828,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Moosmusic - Big Dummy Shake.npz,-23.285621643066406,8.130640029907227,8.130640029907227,-23.11005401611328,-21.35849952697754,7.14874267578125,7.14874267578125,-20.35131072998047,-24.6959228515625,2.82308292388916,2.82308292388916,-24.74270248413086,-24.32785415649414,4.304076194763184,4.304076194763184,-23.32993507385254,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Motor Tapes - Shore.npz,-23.79123878479004,4.6126861572265625,4.6126861572265625,-23.82160186767578,-37.64088821411133,1.3739745616912842,1.3739745616912842,-30.73631477355957,-29.942615509033203,2.989109754562378,2.989109754562378,-27.018760681152344,-21.73272132873535,5.38726282119751,5.38726282119751,-21.355548858642578,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Mu - Too Bright.npz,-25.650333404541016,5.819578647613525,5.819578647613525,-25.499982833862305,-22.921756744384766,6.424867630004883,6.424867630004883,-21.7752742767334,-28.979217529296875,-1.6962590217590332,-1.6962590217590332,-32.16162109375,-27.326438903808594,3.405033588409424,3.405033588409424,-26.072696685791016,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Nerve 9 - Pray For The Rain.npz,-25.2857608795166,6.283814907073975,6.283814907073975,-24.894832611083984,-28.342763900756836,7.018998622894287,7.018998622894287,-27.336061477661133,-27.886905670166016,4.576911926269531,4.576911926269531,-27.182710647583008,-24.261262893676758,5.499391078948975,5.499391078948975,-23.57499885559082,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Happy Daze.npz,-27.46249771118164,-13.192180633544922,-13.192180633544922,-40.762691497802734,-16.56916618347168,8.783699035644531,8.783699035644531,-15.580042839050293,-26.361522674560547,8.628186225891113,8.628186225891113,-25.81821632385254,-30.086565017700195,-0.9429770708084106,-0.9429770708084106,-29.029205322265625,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Oh No.npz,-27.980010986328125,-6.983599662780762,-6.983599662780762,-34.985565185546875,-19.17404556274414,9.695474624633789,9.695474624633789,-18.48023796081543,-24.46805763244629,3.729949951171875,3.729949951171875,-22.573232650756836,-28.035892486572266,1.9889805316925049,1.9889805316925049,-26.435253143310547,23wth3uc,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Punkdisco - Oral Hygiene.npz,-30.38386344909668,5.012183666229248,5.012183666229248,-30.492511749267578,-28.369022369384766,1.9031109809875488,1.9031109809875488,-22.405982971191406,-20.362070083618164,2.3953537940979004,2.3953537940979004,-21.940876007080078,-33.7071533203125,2.1784205436706543,2.1784205436706543,-32.9968376159668,23wth3uc,MUSDB18HQDatasource
