full_path,drums/PredDecibel,drums/SNR,drums/SignalNoiseRatio,drums/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-25.025875091552734,3.585540771484375,3.585540771484375,-22.046003341674805,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-30.63896942138672,3.1235780715942383,3.1235780715942383,-27.202722549438477,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-29.017915725708008,4.13459587097168,4.13459587097168,-25.681669235229492,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-34.828792572021484,0.9874196648597717,0.9874196648597717,-25.532638549804688,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-23.193645477294922,8.662921905517578,8.662921905517578,-22.20934295654297,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-27.68905258178711,4.582737922668457,4.582737922668457,-24.675865173339844,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-28.273012161254883,5.664244651794434,5.664244651794434,-26.521894454956055,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-31.27810287475586,3.915205955505371,3.915205955505371,-27.93985366821289,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-22.872278213500977,7.169668197631836,7.169668197631836,-21.070451736450195,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-29.209747314453125,4.547328948974609,4.547328948974609,-26.205772399902344,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Cristina Vane - So Easy.npz,-25.492935180664062,6.434577941894531,6.434577941894531,-22.708694458007812,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Detsky Sad - Walkie Talkie.npz,-25.012596130371094,2.460801839828491,2.460801839828491,-20.150196075439453,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Enda Reilly - Cur An Long Ag Seol.npz,-38.56629180908203,0.41825583577156067,0.41825583577156067,-23.869918823242188,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Forkupines - Semantics.npz,-20.519210815429688,8.825142860412598,8.825142860412598,-19.831039428710938,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Georgia Wonder - Siren.npz,-25.48862648010254,5.8839921951293945,5.8839921951293945,-23.676652908325195,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Girls Under Glass - We Feel Alright.npz,-24.782291412353516,4.318920135498047,4.318920135498047,-22.09095001220703,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Hollow Ground - Ill Fate.npz,-28.069976806640625,4.277260780334473,4.277260780334473,-25.491121292114258,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/James Elder & Mark M Thompson - The English Actor.npz,-27.024906158447266,7.920363426208496,7.920363426208496,-26.13935661315918,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Juliet's Rescue - Heartbeats.npz,-21.828983306884766,12.346602439880371,12.346602439880371,-21.280920028686523,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Little Chicago's Finest - My Own.npz,-24.973867416381836,6.373687744140625,6.373687744140625,-22.535297393798828,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Louis Cressy Band - Good Time.npz,-26.56609344482422,6.872659683227539,6.872659683227539,-24.71316909790039,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Lyndsey Ollard - Catching Up.npz,-33.47271728515625,4.418672561645508,4.418672561645508,-30.796585083007812,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/M.E.R.C.npz,-31.520000457763672,2.279527187347412,2.279527187347412,-25.595109939575195,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Moosmusic - Big Dummy Shake.npz,-22.860605239868164,4.5945892333984375,4.5945892333984375,-20.35131072998047,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Motor Tapes - Shore.npz,-38.85395431518555,1.7000395059585571,1.7000395059585571,-30.73631477355957,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Mu - Too Bright.npz,-23.39756202697754,7.883108139038086,7.883108139038086,-21.7752742767334,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Nerve 9 - Pray For The Rain.npz,-28.390295028686523,8.282867431640625,8.282867431640625,-27.336061477661133,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Happy Daze.npz,-16.586267471313477,7.89577579498291,7.89577579498291,-15.580042839050293,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Oh No.npz,-19.19831085205078,9.462310791015625,9.462310791015625,-18.48023796081543,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Punkdisco - Oral Hygiene.npz,-31.009681701660156,1.2020769119262695,1.2020769119262695,-22.405982971191406,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Raft Monk - Tiring.npz,-23.71131134033203,7.599486351013184,7.599486351013184,-23.060962677001953,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Sambasevam Shanmugam - Kaathaadi.npz,-32.62102508544922,2.9443023204803467,2.9443023204803467,-28.859243392944336,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Borderline.npz,-30.628795623779297,4.382353782653809,4.382353782653809,-28.35806655883789,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Over The Top.npz,-24.821823120117188,6.5267252922058105,6.5267252922058105,-23.419912338256836,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Side Effects Project - Sing With Me.npz,-27.66830825805664,3.3647725582122803,3.3647725582122803,-22.422584533691406,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Signe Jakobsen - What Have You Done To Me.npz,-36.33810043334961,1.0817742347717285,1.0817742347717285,-27.345304489135742,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Skelpolu - Resurrection.npz,-23.31057357788086,8.853618621826172,8.853618621826172,-22.616336822509766,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Broken Man.npz,-27.547679901123047,5.6575164794921875,5.6575164794921875,-25.31532096862793,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Like Horses.npz,-31.10460662841797,3.6191654205322266,3.6191654205322266,-27.403154373168945,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Doppler Shift - Atrophy.npz,-23.529024124145508,5.115224838256836,5.115224838256836,-21.588577270507812,2nbtce70,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises (Baumi) - SDRNR.npz,-24.710582733154297,5.321467399597168,5.321467399597168,-22.15152931213379,2nbtce70,MUSDB18HQDatasource
