full_path,other/PredDecibel,other/SNR,other/SignalNoiseRatio,other/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-31.465251922607422,0.4310477674007416,0.4310477674007416,-24.678516387939453,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-26.024282455444336,1.9157824516296387,1.9157824516296387,-26.306720733642578,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-23.361169815063477,6.597647190093994,6.597647190093994,-22.545547485351562,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-33.12435531616211,0.385773628950119,0.385773628950119,-20.09284019470215,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-25.788448333740234,4.563630104064941,4.563630104064941,-25.261470794677734,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-28.439815521240234,5.476463794708252,5.476463794708252,-27.41593360900879,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-27.863981246948242,4.805850505828857,4.805850505828857,-26.9068546295166,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-29.84432601928711,2.5437986850738525,2.5437986850738525,-25.35013198852539,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-25.290515899658203,5.491558074951172,5.491558074951172,-23.708232879638672,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-23.170997619628906,3.810746669769287,3.810746669769287,-23.813495635986328,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Cristina Vane - So Easy.npz,-26.128332138061523,3.9211785793304443,3.9211785793304443,-26.025558471679688,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Detsky Sad - Walkie Talkie.npz,-24.432292938232422,2.718407154083252,2.718407154083252,-24.691608428955078,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Enda Reilly - Cur An Long Ag Seol.npz,-25.083656311035156,7.82786750793457,7.82786750793457,-24.645771026611328,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Forkupines - Semantics.npz,-24.38372802734375,5.642332077026367,5.642332077026367,-23.734025955200195,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Georgia Wonder - Siren.npz,-24.543758392333984,5.343608856201172,5.343608856201172,-23.704723358154297,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Girls Under Glass - We Feel Alright.npz,-24.54216957092285,4.957765102386475,4.957765102386475,-23.63784408569336,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Hollow Ground - Ill Fate.npz,-26.34560775756836,2.166590690612793,2.166590690612793,-19.13758087158203,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/James Elder & Mark M Thompson - The English Actor.npz,-23.80099105834961,5.71965217590332,5.71965217590332,-23.248004913330078,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Juliet's Rescue - Heartbeats.npz,-24.932266235351562,5.280509948730469,5.280509948730469,-23.506267547607422,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Little Chicago's Finest - My Own.npz,-29.347393035888672,-3.3550922870635986,-3.3550922870635986,-33.83903121948242,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Louis Cressy Band - Good Time.npz,-25.189306259155273,6.558871269226074,6.558871269226074,-23.726167678833008,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Lyndsey Ollard - Catching Up.npz,-29.8587646484375,4.576956272125244,4.576956272125244,-29.74396514892578,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/M.E.R.C.npz,-27.51751136779785,5.123439788818359,5.123439788818359,-26.371723175048828,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Moosmusic - Big Dummy Shake.npz,-24.738189697265625,5.581338405609131,5.581338405609131,-23.32993507385254,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Motor Tapes - Shore.npz,-21.32354736328125,8.661853790283203,8.661853790283203,-21.355548858642578,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Mu - Too Bright.npz,-28.83917999267578,3.2790656089782715,3.2790656089782715,-26.072696685791016,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Nerve 9 - Pray For The Rain.npz,-24.613733291625977,5.197444915771484,5.197444915771484,-23.57499885559082,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Happy Daze.npz,-58.37940216064453,0.0033335110638290644,0.0033335110638290644,-29.029205322265625,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Oh No.npz,-30.15163803100586,2.6192691326141357,2.6192691326141357,-26.435253143310547,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Punkdisco - Oral Hygiene.npz,-37.297176361083984,2.21125864982605,2.21125864982605,-32.9968376159668,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Raft Monk - Tiring.npz,-23.46441078186035,3.5905826091766357,3.5905826091766357,-21.898513793945312,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Sambasevam Shanmugam - Kaathaadi.npz,-24.916324615478516,7.568680763244629,7.568680763244629,-25.057022094726562,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Borderline.npz,-21.983224868774414,6.556317329406738,6.556317329406738,-20.822860717773438,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Over The Top.npz,-23.27775764465332,6.915788650512695,6.915788650512695,-22.871623992919922,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Side Effects Project - Sing With Me.npz,-37.99393081665039,1.848717212677002,1.848717212677002,-34.26063919067383,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Signe Jakobsen - What Have You Done To Me.npz,-25.50858497619629,3.822138547897339,3.822138547897339,-22.366750717163086,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Skelpolu - Resurrection.npz,-25.326385498046875,2.842801094055176,2.842801094055176,-25.005199432373047,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Broken Man.npz,-24.813167572021484,4.7552595138549805,4.7552595138549805,-23.299657821655273,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Speak Softly - Like Horses.npz,-22.384918212890625,5.728559494018555,5.728559494018555,-22.562339782714844,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Doppler Shift - Atrophy.npz,-24.990930557250977,4.888531684875488,4.888531684875488,-23.239118576049805,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises (Baumi) - SDRNR.npz,-24.047561645507812,0.7317148447036743,0.7317148447036743,-24.12228775024414,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Easton Ellises - Falcon 69.npz,-22.915199279785156,2.306812286376953,2.306812286376953,-22.923269271850586,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Long Wait - Dark Horses.npz,-27.882862091064453,4.439741611480713,4.439741611480713,-26.000146865844727,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Mountaineering Club - Mallory.npz,-27.177845001220703,6.718498229980469,6.718498229980469,-26.859085083007812,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/The Sunshine Garcia Band - For I Am The Moon.npz,-31.982131958007812,2.4380311965942383,2.4380311965942383,-31.64095115661621,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Timboz - Pony.npz,-21.82544708251953,7.727789878845215,7.727789878845215,-20.67180824279785,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Tom McKenzie - Directions.npz,-31.801834106445312,1.9660106897354126,1.9660106897354126,-27.999618530273438,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Triviul feat.npz,-28.940921783447266,2.7552175521850586,2.7552175521850586,-28.894882202148438,2tx9mc4f,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/We Fell From The Sky - Not You.npz,-23.924671173095703,6.455059051513672,6.455059051513672,-22.704811096191406,2tx9mc4f,MUSDB18HQDatasource
