full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,drums/PredDecibel,drums/SNR,drums/SignalNoiseRatio,drums/TargetDecibel,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,other/PredDecibel,other/SNR,other/SignalNoiseRatio,other/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-24.761863708496094,10.216346740722656,10.216346740722656,-24.617992401123047,-23.79467010498047,5.53487491607666,5.53487491607666,-22.046003341674805,-23.62266731262207,-0.902405858039856,-0.902405858039856,-26.434402465820312,-29.078920364379883,0.38712477684020996,0.38712477684020996,-24.678516387939453,3i6i6v60,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-23.404518127441406,7.413967132568359,7.413967132568359,-22.769804000854492,-29.046117782592773,4.828113555908203,4.828113555908203,-27.202722549438477,-26.60262680053711,6.751165866851807,6.751165866851807,-25.54774284362793,-26.335031509399414,2.339102268218994,2.339102268218994,-26.306720733642578,3i6i6v60,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-23.055418014526367,9.260686874389648,9.260686874389648,-22.894981384277344,-27.021133422851562,5.656742095947266,5.656742095947266,-25.681669235229492,-27.246828079223633,6.663409233093262,6.663409233093262,-26.8328857421875,-23.09332847595215,6.113302230834961,6.113302230834961,-22.545547485351562,3i6i6v60,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-25.593406677246094,10.461905479431152,10.461905479431152,-25.338279724121094,-22.69698143005371,-0.23392456769943237,-0.23392456769943237,-25.532638549804688,-20.536020278930664,6.374532222747803,6.374532222747803,-20.621871948242188,-25.694684982299805,2.2843127250671387,2.2843127250671387,-20.09284019470215,3i6i6v60,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-27.356914520263672,5.563729286193848,5.563729286193848,-27.117050170898438,-22.675613403320312,9.998639106750488,9.998639106750488,-22.20934295654297,-26.694364547729492,5.593562126159668,5.593562126159668,-25.08383560180664,-25.75758171081543,3.571013927459717,3.571013927459717,-25.261470794677734,3i6i6v60,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-25.60173988342285,10.65113639831543,10.65113639831543,-25.467731475830078,-25.959747314453125,7.105563163757324,7.105563163757324,-24.675865173339844,-24.23236083984375,8.727335929870605,8.727335929870605,-24.13593101501465,-28.30765724182129,5.384364128112793,5.384364128112793,-27.41593360900879,3i6i6v60,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-29.92617416381836,4.695329666137695,4.695329666137695,-29.235307693481445,-27.298242568969727,8.177728652954102,8.177728652954102,-26.521894454956055,-27.4215030670166,8.796860694885254,8.796860694885254,-27.389869689941406,-28.005599975585938,4.759316444396973,4.759316444396973,-26.9068546295166,3i6i6v60,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-27.44176483154297,9.628973007202148,9.628973007202148,-27.137468338012695,-29.765464782714844,5.5754899978637695,5.5754899978637695,-27.93985366821289,-25.16549301147461,4.130664348602295,4.130664348602295,-25.84140396118164,-27.79161262512207,3.992159843444824,3.992159843444824,-25.35013198852539,3i6i6v60,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-28.075942993164062,4.369446277618408,4.369446277618408,-27.692447662353516,-21.90435028076172,10.567708969116211,10.567708969116211,-21.070451736450195,-24.242610931396484,6.816305160522461,6.816305160522461,-24.466747283935547,-25.066225051879883,5.811582088470459,5.811582088470459,-23.708232879638672,3i6i6v60,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-24.317127227783203,6.680951118469238,6.680951118469238,-23.441585540771484,-27.296985626220703,6.067992210388184,6.067992210388184,-26.205772399902344,-33.10285186767578,1.7506083250045776,1.7506083250045776,-32.642887115478516,-24.23824691772461,5.626116752624512,5.626116752624512,-23.813495635986328,3i6i6v60,MUSDB18HQDatasource
