full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,drums/PredDecibel,drums/SNR,drums/SignalNoiseRatio,drums/TargetDecibel,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,other/PredDecibel,other/SNR,other/SignalNoiseRatio,other/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-25.025470733642578,8.367729187011719,8.367729187011719,-24.617992401123047,-24.705829620361328,4.844655990600586,4.844655990600586,-22.046003341674805,-23.70985984802246,-0.8173055648803711,-0.8173055648803711,-26.434402465820312,-27.042009353637695,-0.07467380166053772,-0.07467380166053772,-24.678516387939453,3zkxq8iu,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-23.88410758972168,6.364133358001709,6.364133358001709,-22.769804000854492,-29.342670440673828,3.800865411758423,3.800865411758423,-27.202722549438477,-26.60738754272461,5.84389066696167,5.84389066696167,-25.54774284362793,-25.096782684326172,1.39589262008667,1.39589262008667,-26.306720733642578,3zkxq8iu,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-23.30107879638672,10.192914009094238,10.192914009094238,-22.894981384277344,-28.293609619140625,4.1027326583862305,4.1027326583862305,-25.681669235229492,-26.534976959228516,5.358794212341309,5.358794212341309,-26.8328857421875,-22.417808532714844,6.071539878845215,6.071539878845215,-22.545547485351562,3zkxq8iu,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-25.62342071533203,9.695634841918945,9.695634841918945,-25.338279724121094,-23.4664306640625,-0.22674083709716797,-0.22674083709716797,-25.532638549804688,-20.75841522216797,5.270367622375488,5.270367622375488,-20.621871948242188,-24.252399444580078,2.6440587043762207,2.6440587043762207,-20.09284019470215,3zkxq8iu,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-28.525047302246094,4.489891052246094,4.489891052246094,-27.117050170898438,-22.927993774414062,8.799566268920898,8.799566268920898,-22.20934295654297,-26.312597274780273,5.3544182777404785,5.3544182777404785,-25.08383560180664,-24.96401023864746,3.174327850341797,3.174327850341797,-25.261470794677734,3zkxq8iu,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-25.67775535583496,10.647040367126465,10.647040367126465,-25.467731475830078,-26.255191802978516,5.968064308166504,5.968064308166504,-24.675865173339844,-23.926298141479492,7.372403144836426,7.372403144836426,-24.13593101501465,-28.11707305908203,5.505202293395996,5.505202293395996,-27.415935516357422,3zkxq8iu,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-30.090120315551758,4.573078155517578,4.573078155517578,-29.235307693481445,-27.692325592041016,6.088594913482666,6.088594913482666,-26.521894454956055,-27.404287338256836,7.8245954513549805,7.8245954513549805,-27.389869689941406,-27.068294525146484,4.836294651031494,4.836294651031494,-26.9068546295166,3zkxq8iu,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-27.335527420043945,9.45182991027832,9.45182991027832,-27.137468338012695,-30.24382781982422,4.667758941650391,4.667758941650391,-27.93985366821289,-25.039426803588867,3.85555362701416,3.85555362701416,-25.84140396118164,-27.834487915039062,3.7062673568725586,3.7062673568725586,-25.35013198852539,3zkxq8iu,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-29.1199893951416,4.72156286239624,4.72156286239624,-27.692447662353516,-22.3483829498291,8.931344032287598,8.931344032287598,-21.070453643798828,-23.861047744750977,6.230013847351074,6.230013847351074,-24.466747283935547,-24.130651473999023,5.3437604904174805,5.3437604904174805,-23.708232879638672,3zkxq8iu,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-24.481279373168945,6.7117109298706055,6.7117109298706055,-23.441585540771484,-28.59152603149414,4.995128631591797,4.995128631591797,-26.205772399902344,-31.316082000732422,0.7293945550918579,0.7293945550918579,-32.64288330078125,-23.615707397460938,4.903846740722656,4.903846740722656,-23.813495635986328,3zkxq8iu,MUSDB18HQDatasource
