full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-24.86983871459961,10.4847412109375,10.4847412109375,-24.617992401123047,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-23.61422348022461,7.403866767883301,7.403866767883301,-22.769804000854492,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-23.142257690429688,11.057985305786133,11.057985305786133,-22.894981384277344,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-25.822370529174805,9.857311248779297,9.857311248779297,-25.338279724121094,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-27.658889770507812,6.311149597167969,6.311149597167969,-27.117050170898438,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-25.687292098999023,11.649372100830078,11.649372100830078,-25.467731475830078,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-30.13155174255371,5.672386169433594,5.672386169433594,-29.235307693481445,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-27.32138442993164,10.51606559753418,10.51606559753418,-27.137468338012695,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-27.973241806030273,5.054999351501465,5.054999351501465,-27.692447662353516,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-24.301843643188477,7.5098466873168945,7.5098466873168945,-23.441585540771484,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Cristina Vane - So Easy.npz,-24.656476974487305,11.370691299438477,11.370691299438477,-24.36704444885254,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Detsky Sad - Walkie Talkie.npz,-26.76818084716797,5.08380126953125,5.08380126953125,-26.87833023071289,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Enda Reilly - Cur An Long Ag Seol.npz,-23.78044891357422,13.42502212524414,13.42502212524414,-23.574514389038086,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Forkupines - Semantics.npz,-26.848201751708984,7.786766052246094,7.786766052246094,-26.33904266357422,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Georgia Wonder - Siren.npz,-26.45561981201172,5.875414848327637,5.875414848327637,-25.780202865600586,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Girls Under Glass - We Feel Alright.npz,-29.796716690063477,5.864309310913086,5.864309310913086,-29.252532958984375,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Hollow Ground - Ill Fate.npz,-28.77861785888672,7.14034366607666,7.14034366607666,-28.444293975830078,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/James Elder & Mark M Thompson - The English Actor.npz,-24.83729362487793,7.444397926330566,7.444397926330566,-24.045074462890625,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Juliet's Rescue - Heartbeats.npz,-26.36612892150879,9.631414413452148,9.631414413452148,-26.170616149902344,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Little Chicago's Finest - My Own.npz,-29.01576805114746,8.911951065063477,8.911951065063477,-28.040977478027344,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Louis Cressy Band - Good Time.npz,-28.091201782226562,8.345809936523438,8.345809936523438,-28.216461181640625,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Lyndsey Ollard - Catching Up.npz,-26.327556610107422,10.003873825073242,10.003873825073242,-25.83230972290039,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/M.E.R.C.npz,-23.99369239807129,7.790728569030762,7.790728569030762,-23.811355590820312,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Moosmusic - Big Dummy Shake.npz,-23.355831146240234,12.083970069885254,12.083970069885254,-23.11005401611328,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Motor Tapes - Shore.npz,-23.887271881103516,6.408181190490723,6.408181190490723,-23.82160186767578,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Mu - Too Bright.npz,-25.574453353881836,10.345351219177246,10.345351219177246,-25.499982833862305,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Nerve 9 - Pray For The Rain.npz,-25.27483367919922,8.351491928100586,8.351491928100586,-24.894832611083984,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Happy Daze.npz,-39.12760543823242,-1.4486937522888184,-1.4486937522888184,-40.762691497802734,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Oh No.npz,-36.09535598754883,4.588199615478516,4.588199615478516,-34.985565185546875,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Punkdisco - Oral Hygiene.npz,-30.024507522583008,6.572566032409668,6.572566032409668,-30.492511749267578,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Raft Monk - Tiring.npz,-25.078718185424805,5.241589069366455,5.241589069366455,-24.04503059387207,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Sambasevam Shanmugam - Kaathaadi.npz,-24.058307647705078,11.864607810974121,11.864607810974121,-23.687538146972656,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Borderline.npz,-24.81764793395996,7.350679397583008,7.350679397583008,-24.763687133789062,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Over The Top.npz,-26.221101760864258,10.292787551879883,10.292787551879883,-25.994491577148438,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Side Effects Project - Sing With Me.npz,-23.574426651000977,11.239424705505371,11.239424705505371,-23.31591796875,4vxw0l1g,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Signe Jakobsen - What Have You Done To Me.npz,-23.252260208129883,9.790935516357422,9.790935516357422,-22.79737091064453,4vxw0l1g,MUSDB18HQDatasource
