full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,drums/PredDecibel,drums/SNR,drums/SignalNoiseRatio,drums/TargetDecibel,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,other/PredDecibel,other/SNR,other/SignalNoiseRatio,other/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-24.82253646850586,9.576122283935547,9.576122283935547,-24.617992401123047,-23.17753028869629,7.223105430603027,7.223105430603027,-22.046003341674805,-23.383398056030273,-0.8085136413574219,-0.8085136413574219,-26.434402465820312,-29.722862243652344,0.622553825378418,0.622553825378418,-24.678516387939453,7i7hesxl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-23.486347198486328,7.184994697570801,7.184994697570801,-22.769804000854492,-28.918495178222656,4.559146404266357,4.559146404266357,-27.202722549438477,-26.33621597290039,7.906495094299316,7.906495094299316,-25.54774284362793,-25.86838150024414,2.3113248348236084,2.3113248348236084,-26.306720733642578,7i7hesxl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-23.144128799438477,10.710433959960938,10.710433959960938,-22.894981384277344,-27.707630157470703,5.032185077667236,5.032185077667236,-25.681669235229492,-26.886714935302734,7.399112224578857,7.399112224578857,-26.8328857421875,-22.543743133544922,6.759342193603516,6.759342193603516,-22.54554557800293,7i7hesxl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-25.52977752685547,9.444172859191895,9.444172859191895,-25.338279724121094,-24.15191650390625,1.2727099657058716,1.2727099657058716,-25.532638549804688,-20.947559356689453,6.054945945739746,6.054945945739746,-20.621871948242188,-23.172679901123047,3.3615455627441406,3.3615455627441406,-20.09284019470215,7i7hesxl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-27.80109214782715,5.502934455871582,5.502934455871582,-27.117050170898438,-22.45584487915039,9.93519401550293,9.93519401550293,-22.20934295654297,-27.400407791137695,5.605047225952148,5.605047225952148,-25.083831787109375,-25.295679092407227,3.5999529361724854,3.5999529361724854,-25.261470794677734,7i7hesxl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-25.55010223388672,11.377317428588867,11.377317428588867,-25.467731475830078,-25.9695987701416,6.636601448059082,6.636601448059082,-24.675865173339844,-24.23601531982422,7.568704605102539,7.568704605102539,-24.13593101501465,-28.035261154174805,5.847855567932129,5.847855567932129,-27.41593360900879,7i7hesxl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-30.022171020507812,5.241771697998047,5.241771697998047,-29.235307693481445,-27.514324188232422,7.237521648406982,7.237521648406982,-26.521894454956055,-27.37726593017578,9.821703910827637,9.821703910827637,-27.389869689941406,-27.02313232421875,4.935135841369629,4.935135841369629,-26.9068546295166,7i7hesxl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-27.299060821533203,10.25709342956543,10.25709342956543,-27.137468338012695,-30.041706085205078,4.923044204711914,4.923044204711914,-27.93985366821289,-25.46811294555664,4.4545392990112305,4.4545392990112305,-25.84140396118164,-26.792573928833008,3.913806200027466,3.913806200027466,-25.35013198852539,7i7hesxl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-28.031465530395508,4.345575332641602,4.345575332641602,-27.692447662353516,-21.72894287109375,10.718573570251465,10.718573570251465,-21.070451736450195,-24.161563873291016,7.893840789794922,7.893840789794922,-24.466747283935547,-24.781204223632812,5.730123519897461,5.730123519897461,-23.708232879638672,7i7hesxl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-24.247419357299805,7.448674201965332,7.448674201965332,-23.441585540771484,-27.24768829345703,6.549492835998535,6.549492835998535,-26.205772399902344,-32.838768005371094,2.3833165168762207,2.3833165168762207,-32.642887115478516,-24.001251220703125,6.195101737976074,6.195101737976074,-23.81349754333496,7i7hesxl,MUSDB18HQDatasource
