full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-24.92283821105957,10.784525871276855,10.784525871276855,-24.617992401123047,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-23.720109939575195,7.282197952270508,7.282197952270508,-22.769804000854492,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-23.21834945678711,11.124387741088867,11.124387741088867,-22.894981384277344,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-25.690387725830078,10.160187721252441,10.160187721252441,-25.338279724121094,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-27.71246910095215,6.507094383239746,6.507094383239746,-27.117050170898438,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-25.715778350830078,11.338411331176758,11.338411331176758,-25.467731475830078,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-30.27739715576172,5.694220066070557,5.694220066070557,-29.235307693481445,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-27.371702194213867,10.616353034973145,10.616353034973145,-27.137468338012695,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-28.727584838867188,5.517643451690674,5.517643451690674,-27.692447662353516,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-24.46518898010254,7.405844688415527,7.405844688415527,-23.441585540771484,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Cristina Vane - So Easy.npz,-24.78078842163086,11.025446891784668,11.025446891784668,-24.36704444885254,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Detsky Sad - Walkie Talkie.npz,-26.93340492248535,5.317940711975098,5.317940711975098,-26.87833023071289,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Enda Reilly - Cur An Long Ag Seol.npz,-23.729440689086914,13.330730438232422,13.330730438232422,-23.574514389038086,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Forkupines - Semantics.npz,-27.040502548217773,7.714879035949707,7.714879035949707,-26.33904266357422,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Georgia Wonder - Siren.npz,-26.773183822631836,6.18228816986084,6.18228816986084,-25.780202865600586,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Girls Under Glass - We Feel Alright.npz,-30.07712173461914,5.848082542419434,5.848082542419434,-29.252532958984375,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Hollow Ground - Ill Fate.npz,-28.97537612915039,7.287162780761719,7.287162780761719,-28.444293975830078,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/James Elder & Mark M Thompson - The English Actor.npz,-24.96257781982422,7.4499101638793945,7.4499101638793945,-24.045074462890625,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Juliet's Rescue - Heartbeats.npz,-26.488447189331055,9.673604965209961,9.673604965209961,-26.170616149902344,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Little Chicago's Finest - My Own.npz,-28.871232986450195,9.770682334899902,9.770682334899902,-28.040977478027344,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Louis Cressy Band - Good Time.npz,-28.06175422668457,7.8550872802734375,7.8550872802734375,-28.216461181640625,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Lyndsey Ollard - Catching Up.npz,-26.360750198364258,9.789161682128906,9.789161682128906,-25.83230972290039,8akgy5kl,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/M.E.R.C.npz,-24.245376586914062,7.752236366271973,7.752236366271973,-23.811355590820312,8akgy5kl,MUSDB18HQDatasource
