full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,drums/PredDecibel,drums/SNR,drums/SignalNoiseRatio,drums/TargetDecibel,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,other/PredDecibel,other/SNR,other/SignalNoiseRatio,other/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-25.107513427734375,10.089845657348633,10.089845657348633,-24.617992401123047,-23.86996841430664,4.6401567459106445,4.6401567459106445,-22.046003341674805,-25.186431884765625,-0.4155019521713257,-0.4155019521713257,-26.434402465820312,-25.845630645751953,0.12283749878406525,0.12283749878406525,-24.678516387939453,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-23.976123809814453,6.321709156036377,6.321709156036377,-22.769804000854492,-29.624832153320312,3.9647207260131836,3.9647207260131836,-27.202722549438477,-26.30126953125,6.748748779296875,6.748748779296875,-25.54774284362793,-25.560739517211914,1.5790178775787354,1.5790178775787354,-26.306720733642578,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-23.084972381591797,9.860664367675781,9.860664367675781,-22.894981384277344,-29.484941482543945,3.302335262298584,3.302335262298584,-25.681669235229492,-26.013046264648438,3.2213170528411865,3.2213170528411865,-26.8328857421875,-22.858898162841797,6.748024940490723,6.748024940490723,-22.545547485351562,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-25.900775909423828,8.469493865966797,8.469493865966797,-25.338279724121094,-25.60723114013672,3.6176326274871826,3.6176326274871826,-25.532638549804688,-21.728885650634766,3.7485785484313965,3.7485785484313965,-20.621871948242188,-21.941619873046875,2.918867588043213,2.918867588043213,-20.09284019470215,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-27.613197326660156,6.870798110961914,6.870798110961914,-27.117050170898438,-22.78314971923828,9.427074432373047,9.427074432373047,-22.20934295654297,-25.74871063232422,7.138585090637207,7.138585090637207,-25.08383560180664,-25.75945281982422,4.6708598136901855,4.6708598136901855,-25.261470794677734,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-25.696704864501953,11.804320335388184,11.804320335388184,-25.467731475830078,-25.598636627197266,7.717596054077148,7.717596054077148,-24.675865173339844,-24.564836502075195,9.572368621826172,9.572368621826172,-24.13593101501465,-28.018165588378906,5.815038681030273,5.815038681030273,-27.415935516357422,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-31.278518676757812,4.390266418457031,4.390266418457031,-29.235307693481445,-28.92591667175293,5.488698482513428,5.488698482513428,-26.521894454956055,-27.759010314941406,8.502359390258789,8.502359390258789,-27.389869689941406,-26.2576961517334,3.2910561561584473,3.2910561561584473,-26.9068546295166,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-27.410701751708984,9.768915176391602,9.768915176391602,-27.137468338012695,-30.04033851623535,4.8796844482421875,4.8796844482421875,-27.93985366821289,-25.755722045898438,5.216279029846191,5.216279029846191,-25.84140396118164,-26.993539810180664,4.495305061340332,4.495305061340332,-25.35013198852539,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-28.77851104736328,4.608367919921875,4.608367919921875,-27.692447662353516,-22.43290901184082,8.959426879882812,8.959426879882812,-21.070453643798828,-24.53052520751953,6.0273237228393555,6.0273237228393555,-24.466747283935547,-24.45533561706543,5.288507461547852,5.288507461547852,-23.708232879638672,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-24.996902465820312,5.90728235244751,5.90728235244751,-23.441585540771484,-27.949207305908203,5.635347843170166,5.635347843170166,-26.205772399902344,-34.117210388183594,2.590519905090332,2.590519905090332,-32.64288330078125,-23.23345184326172,4.251733779907227,4.251733779907227,-23.813495635986328,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Cristina Vane - So Easy.npz,-24.673198699951172,10.306388854980469,10.306388854980469,-24.36704444885254,-23.666061401367188,9.487157821655273,9.487157821655273,-22.708694458007812,-27.868743896484375,3.9784200191497803,3.9784200191497803,-27.728858947753906,-26.64522361755371,4.347811698913574,4.347811698913574,-26.025558471679688,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Detsky Sad - Walkie Talkie.npz,-26.767732620239258,4.886451721191406,4.886451721191406,-26.87833023071289,-22.905149459838867,4.051177978515625,4.051177978515625,-20.150196075439453,-38.13454055786133,0.04020994156599045,0.04020994156599045,-30.63587188720703,-21.984333038330078,-0.3047531247138977,-0.3047531247138977,-24.69161033630371,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Enda Reilly - Cur An Long Ag Seol.npz,-23.60042381286621,10.510440826416016,10.510440826416016,-23.57451629638672,-29.982376098632812,2.6134986877441406,2.6134986877441406,-23.869918823242188,-25.217973709106445,1.9819623231887817,1.9819623231887817,-24.61058807373047,-24.124652862548828,4.991998672485352,4.991998672485352,-24.645771026611328,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Forkupines - Semantics.npz,-27.16940689086914,7.064750671386719,7.064750671386719,-26.33904266357422,-20.461437225341797,8.329320907592773,8.329320907592773,-19.831039428710938,-30.160991668701172,1.8915609121322632,1.8915609121322632,-27.0882625579834,-23.245532989501953,2.9916117191314697,2.9916117191314697,-23.734025955200195,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Georgia Wonder - Siren.npz,-27.32689666748047,5.064159870147705,5.064159870147705,-25.780202865600586,-25.284568786621094,7.171906471252441,7.171906471252441,-23.676652908325195,-23.996318817138672,8.2440767288208,8.2440767288208,-23.65856170654297,-23.655508041381836,5.01789665222168,5.01789665222168,-23.704723358154297,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Girls Under Glass - We Feel Alright.npz,-30.109176635742188,5.598751544952393,5.598751544952393,-29.252532958984375,-23.945323944091797,3.854095458984375,3.854095458984375,-22.09095001220703,-28.78563117980957,1.4745464324951172,1.4745464324951172,-23.435840606689453,-22.426773071289062,2.141637086868286,2.141637086868286,-23.63784408569336,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Hollow Ground - Ill Fate.npz,-28.954505920410156,7.785641193389893,7.785641193389893,-28.444293975830078,-25.955562591552734,6.417402267456055,6.417402267456055,-25.491121292114258,-21.757923126220703,-0.38025057315826416,-0.38025057315826416,-24.077234268188477,-22.5089111328125,4.258356094360352,4.258356094360352,-19.13758087158203,9qspypvq,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/James Elder & Mark M Thompson - The English Actor.npz,-24.745250701904297,7.7634968757629395,7.7634968757629395,-24.04507064819336,-26.330108642578125,7.097476959228516,7.097476959228516,-26.13935661315918,-30.036733627319336,4.730526447296143,4.730526447296143,-29.303224563598633,-23.81344985961914,6.161069869995117,6.161069869995117,-23.248004913330078,9qspypvq,MUSDB18HQDatasource
