full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-25.00916290283203,10.79206371307373,10.79206371307373,-24.617992401123047,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-23.877161026000977,6.678465366363525,6.678465366363525,-22.769804000854492,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-23.157676696777344,10.567136764526367,10.567136764526367,-22.894981384277344,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-25.859663009643555,9.142412185668945,9.142412185668945,-25.338279724121094,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-27.60586929321289,7.267683982849121,7.267683982849121,-27.117050170898438,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-25.670814514160156,11.899837493896484,11.899837493896484,-25.467731475830078,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-30.71672248840332,5.427100658416748,5.427100658416748,-29.235307693481445,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-27.436023712158203,10.250981330871582,10.250981330871582,-27.137468338012695,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-28.69993019104004,4.320329666137695,4.320329666137695,-27.692447662353516,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-25.184650421142578,5.7212395668029785,5.7212395668029785,-23.441585540771484,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Cristina Vane - So Easy.npz,-24.76065444946289,10.612825393676758,10.612825393676758,-24.36704444885254,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Detsky Sad - Walkie Talkie.npz,-26.80720329284668,5.92106819152832,5.92106819152832,-26.87833023071289,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Enda Reilly - Cur An Long Ag Seol.npz,-23.781082153320312,11.803560256958008,11.803560256958008,-23.574514389038086,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Forkupines - Semantics.npz,-27.255577087402344,7.5093302726745605,7.5093302726745605,-26.33904266357422,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Georgia Wonder - Siren.npz,-26.75046730041504,5.006468772888184,5.006468772888184,-25.780202865600586,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Girls Under Glass - We Feel Alright.npz,-30.281782150268555,5.816113471984863,5.816113471984863,-29.252532958984375,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Hollow Ground - Ill Fate.npz,-28.96075439453125,7.575385570526123,7.575385570526123,-28.444293975830078,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/James Elder & Mark M Thompson - The English Actor.npz,-24.984514236450195,7.433829307556152,7.433829307556152,-24.045074462890625,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Juliet's Rescue - Heartbeats.npz,-26.508991241455078,9.34960651397705,9.34960651397705,-26.170616149902344,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Little Chicago's Finest - My Own.npz,-29.393728256225586,8.034247398376465,8.034247398376465,-28.040977478027344,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Louis Cressy Band - Good Time.npz,-28.289527893066406,8.520301818847656,8.520301818847656,-28.216461181640625,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Lyndsey Ollard - Catching Up.npz,-26.23185920715332,11.16576099395752,11.16576099395752,-25.83230972290039,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/M.E.R.C.npz,-24.79724884033203,8.271463394165039,8.271463394165039,-23.811355590820312,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Moosmusic - Big Dummy Shake.npz,-23.325008392333984,11.673848152160645,11.673848152160645,-23.11005401611328,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Motor Tapes - Shore.npz,-24.597360610961914,6.5654401779174805,6.5654401779174805,-23.82160186767578,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Mu - Too Bright.npz,-25.842063903808594,10.13294506072998,10.13294506072998,-25.499982833862305,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Nerve 9 - Pray For The Rain.npz,-26.067102432250977,6.896288871765137,6.896288871765137,-24.894832611083984,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Happy Daze.npz,-61.272613525390625,-0.03712009638547897,-0.03712009638547897,-40.762691497802734,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/PR - Oh No.npz,-35.78940200805664,1.2359910011291504,1.2359910011291504,-34.985565185546875,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Punkdisco - Oral Hygiene.npz,-29.797805786132812,5.266995429992676,5.266995429992676,-30.492511749267578,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Raft Monk - Tiring.npz,-26.121288299560547,4.845446586608887,4.845446586608887,-24.04503059387207,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Sambasevam Shanmugam - Kaathaadi.npz,-23.984416961669922,12.821880340576172,12.821880340576172,-23.687538146972656,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Borderline.npz,-25.370948791503906,7.854489326477051,7.854489326477051,-24.763687133789062,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Secretariat - Over The Top.npz,-26.299407958984375,9.672996520996094,9.672996520996094,-25.994491577148438,gbsvyktp,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Side Effects Project - Sing With Me.npz,-23.573970794677734,11.34620475769043,11.34620475769043,-23.31591796875,gbsvyktp,MUSDB18HQDatasource
