full_path,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-26.291101455688477,-0.6031922101974487,-0.6031922101974487,-26.434402465820312,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-27.02788543701172,6.03741455078125,6.03741455078125,-25.54774284362793,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-26.97099494934082,5.248112678527832,5.248112678527832,-26.8328857421875,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-19.844032287597656,3.6749179363250732,3.6749179363250732,-20.621871948242188,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-26.676300048828125,6.285170555114746,6.285170555114746,-25.08383560180664,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-24.44601058959961,9.554758071899414,9.554758071899414,-24.13593101501465,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-27.627601623535156,9.080894470214844,9.080894470214844,-27.389869689941406,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-25.75594139099121,5.9453020095825195,5.9453020095825195,-25.84140396118164,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-24.856813430786133,7.747154235839844,7.747154235839844,-24.466747283935547,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-30.652780532836914,-0.9466661214828491,-0.9466661214828491,-32.642887115478516,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Cristina Vane - So Easy.npz,-28.69040298461914,5.107979774475098,5.107979774475098,-27.728858947753906,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Detsky Sad - Walkie Talkie.npz,-37.26518249511719,1.202972173690796,1.202972173690796,-30.63587188720703,lhtpigg8,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Enda Reilly - Cur An Long Ag Seol.npz,-23.294841766357422,1.29472017288208,1.29472017288208,-24.61058807373047,lhtpigg8,MUSDB18HQDatasource
