full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,drums/PredDecibel,drums/SNR,drums/SignalNoiseRatio,drums/TargetDecibel,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,other/PredDecibel,other/SNR,other/SignalNoiseRatio,other/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-25.79767417907715,7.2941789627075195,7.2941789627075195,-24.617992401123047,-24.144392013549805,4.423169136047363,4.423169136047363,-22.046003341674805,-24.941158294677734,-0.20680364966392517,-0.20680364966392517,-26.434402465820312,-27.02334213256836,0.31350260972976685,0.31350260972976685,-24.678516387939453,prl820re,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-24.980064392089844,4.515591621398926,4.515591621398926,-22.769804000854492,-29.590566635131836,2.903656005859375,2.903656005859375,-27.202722549438477,-26.70038604736328,5.309614181518555,5.309614181518555,-25.54774284362793,-24.840145111083984,0.2357083410024643,0.2357083410024643,-26.306720733642578,prl820re,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-23.485576629638672,6.9063873291015625,6.9063873291015625,-22.894981384277344,-30.387786865234375,2.5152156352996826,2.5152156352996826,-25.681669235229492,-27.03652572631836,2.8391637802124023,2.8391637802124023,-26.8328857421875,-23.01578140258789,4.732307434082031,4.732307434082031,-22.545547485351562,prl820re,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-25.92165756225586,7.618152618408203,7.618152618408203,-25.338279724121094,-25.921512603759766,0.4448048770427704,0.4448048770427704,-25.532638549804688,-20.21489143371582,2.1440470218658447,2.1440470218658447,-20.621871948242188,-27.03056526184082,1.437243938446045,1.437243938446045,-20.09284019470215,prl820re,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-28.004619598388672,4.2493085861206055,4.2493085861206055,-27.117050170898438,-22.965620040893555,8.327535629272461,8.327535629272461,-22.20934295654297,-26.14566993713379,5.948639869689941,5.948639869689941,-25.08383560180664,-25.845279693603516,3.2794132232666016,3.2794132232666016,-25.261470794677734,prl820re,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-25.606338500976562,8.638204574584961,8.638204574584961,-25.467731475830078,-26.16794776916504,5.576127529144287,5.576127529144287,-24.675865173339844,-24.736865997314453,7.625453472137451,7.625453472137451,-24.13593101501465,-28.93976402282715,4.32375955581665,4.32375955581665,-27.41593360900879,prl820re,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-31.695995330810547,3.22725248336792,3.22725248336792,-29.235307693481445,-27.953941345214844,5.813447952270508,5.813447952270508,-26.521894454956055,-27.84116554260254,6.112380027770996,6.112380027770996,-27.389869689941406,-27.602384567260742,3.7582263946533203,3.7582263946533203,-26.9068546295166,prl820re,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-28.12690544128418,6.5348896980285645,6.5348896980285645,-27.137468338012695,-29.126461029052734,3.902729034423828,3.902729034423828,-27.93985366821289,-25.494224548339844,4.298978328704834,4.298978328704834,-25.84140396118164,-28.781158447265625,3.1385679244995117,3.1385679244995117,-25.35013198852539,prl820re,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-28.805952072143555,2.536561965942383,2.536561965942383,-27.692447662353516,-29.142465591430664,1.3543344736099243,1.3543344736099243,-21.070451736450195,-22.100780487060547,-1.961918830871582,-1.961918830871582,-24.466747283935547,-23.969270706176758,3.725365161895752,3.725365161895752,-23.708232879638672,prl820re,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-25.043994903564453,5.006063461303711,5.006063461303711,-23.441585540771484,-29.680728912353516,3.394676685333252,3.394676685333252,-26.205772399902344,-31.671695709228516,-0.27333948016166687,-0.27333948016166687,-32.642887115478516,-23.854772567749023,3.983961582183838,3.983961582183838,-23.813495635986328,prl820re,MUSDB18HQDatasource
