model_cls,tfmodel_cls,epoch,model,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MoisesDB,MoisesDB,MoisesDB,MoisesDB,MoisesDB,MoisesDB,MoisesDB,MoisesDB
,,,,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource
,,,,vocals,drums,bass,other,vocals,drums,bass,other,vocals,drums,bass,other,vocals,drums,bass,other
FixedStemBandit,MambaTFModel,99,23wth3uc,,,,,,,,,5.3,4.3,2.9,3.7,7.0,7.6,7.7,5.3
FixedStemBandit,MambaTFModel,99,prl820re,5.8,4.8,3.0,3.9,6.2,5.9,6.4,4.1,,,,,,,,
FixedStemBandit,RNNSeqBandModellingModule,99,1neek7gq,,,,,,,,,,,,,7.0,8.8,8.6,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,69lnvw21,,,,,,,,,,,,,8.4,9.7,10.2,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,gpxb68eo,,,,,,,,,,,,,7.3,8.7,8.5,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,gtq2g6z9,,,,,,,,,,,,,8.5,9.7,10.3,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,h5fcofk0,,,,,,,,,,,,,6.8,8.7,8.6,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,pui49sm7,,,,,,,,,,,,,8.4,9.6,9.8,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,q601q181,,,,,,,,,,,,,8.6,9.8,10.0,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,uhnr1app,,,,,,,,,,,,,7.2,8.7,8.8,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,xzslzg26,,,,,,,,,7.7,6.4,4.9,4.6,8.5,9.2,9.2,6.1
FixedStemBandit,RNNSeqBandModellingModule,99,zune532k,7.9,6.8,4.6,4.7,7.7,8.1,8.1,5.1,,,,,,,,
FixedStemBandit,RNNSeqBandModellingModule,249,3zkxq8iu,,,,,,,,,7.3,5.7,4.2,4.4,8.3,8.7,8.9,5.8
FixedStemBandit,RNNSeqBandModellingModule,249,9qspypvq,7.6,6.0,3.7,4.3,7.7,7.2,7.2,4.8,,,,,,,,
FixedStemBandit,RoFormerTFModel,99,0l0r6gav,7.2,7.7,5.5,5.0,7.5,8.7,8.9,5.3,,,,,,,,
FixedStemBandit,RoFormerTFModel,99,3i6i6v60,,,,,,,,,7.5,7.1,5.2,4.8,8.4,9.3,9.6,6.3
SingleFixedStemBandit,RNNSeqBandModellingModule,99,2nbtce70,,,,,,,,,,4.6,,,,9.2,,
SingleFixedStemBandit,RNNSeqBandModellingModule,99,2tx9mc4f,,,,4.7,,,,5.2,,,,,,,,
SingleFixedStemBandit,RNNSeqBandModellingModule,99,4vxw0l1g,,,,,,,,,8.0,,,,9.1,,,
SingleFixedStemBandit,RNNSeqBandModellingModule,99,9rg6syhm,,6.7,,,,7.7,,,,,,,,,,
SingleFixedStemBandit,RNNSeqBandModellingModule,99,gbsvyktp,8.0,,,,8.0,,,,,,,,,,,
SingleFixedStemBandit,RNNSeqBandModellingModule,99,lhtpigg8,,,5.2,,,,8.1,,,,,,,,,
SingleFixedStemBandit,RNNSeqBandModellingModule,99,qtyn4z9v,,,,,,,,,,,,5.1,,,,6.3
SingleFixedStemBandit,RNNSeqBandModellingModule,99,w86ixw22,,,,,,,,,,,6.1,,,,10.2,
VectorDictQueryBandit,RNNSeqBandModellingModule,99,7i7hesxl,,,,,,,,,8.1,7.2,4.6,4.9,9.2,10.1,10.1,6.6
VectorDictQueryBandit,RNNSeqBandModellingModule,99,tt91ynoc,,,,,,,,,,,,,8.5,9.9,9.8,-2.8
VectorDictQueryBandit,RNNSeqBandModellingModule,99,zgjuty33,8.7,8.0,6.0,5.0,7.9,8.4,8.6,5.5,,,,,,,,
VectorDictQueryBandit,RNNSeqBandModellingModule,249,yqtx6ahs,8.1,7.2,5.1,5.0,7.9,7.7,8.0,5.4,,,,,,,,
