model_cls,tfmodel_cls,epoch,model,training_stems,MoisesDB,MoisesDB,MoisesDB,MoisesDB,MoisesDB,MoisesDB,MoisesDB,MoisesDB
,,,,,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource
,,,,,vocals,drums,bass,other,vocals,drums,bass,other
FixedStemBandit,MambaTFModel,99,23wth3uc,vdbo,5.315457105636597,4.314856290817261,2.906096339225769,3.739332318305969,6.97248911857605,7.593976020812988,7.719684362411499,5.294092893600464
FixedStemBandit,RNNSeqBandModellingModule,99,1neek7gq,vdbgpwbpooo,,,,,7.003795385360718,8.815855026245117,8.577869415283203,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,69lnvw21,vdbgpwbpooo,,,,,8.435692310333252,9.686351776123049,10.15643310546875,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,gpxb68eo,vdbgpwbpooo,,,,,7.28445029258728,8.701753616333008,8.453306198120117,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,gtq2g6z9,vdbgpwbpooo,,,,,8.491110801696777,9.745990753173828,10.278680801391602,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,h5fcofk0,vdbgpwbpooo,,,,,6.779397010803223,8.687734603881836,8.635473251342773,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,pui49sm7,vdbgpwbpooo,,,,,8.42012882232666,9.59872817993164,9.842408657073975,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,q601q181,vdbgpwbpooo,,,,,8.61268424987793,9.802352905273438,9.952608108520508,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,uhnr1app,vdbgpwbpooo,,,,,7.175473690032959,8.655233383178711,8.786988258361816,0.0
FixedStemBandit,RNNSeqBandModellingModule,99,xzslzg26,vdbo,7.71409273147583,6.42457914352417,4.882294178009033,4.5687737464904785,8.485019207000732,9.210914611816406,9.17497968673706,6.097321271896362
FixedStemBandit,RNNSeqBandModellingModule,249,3zkxq8iu,vdbo,7.327922821044922,5.691888809204102,4.18340539932251,4.385760307312012,8.347711563110352,8.745634078979492,8.924577236175537,5.758184909820557
FixedStemBandit,RoFormerTFModel,99,3i6i6v60,vdbo,7.476195812225342,7.101795434951782,5.196998119354248,4.756767511367798,8.403575897216797,9.333948135375977,9.601413249969482,6.292947769165039
SingleFixedStemBandit,RNNSeqBandModellingModule,99,2nbtce70,drums,,4.588663578033447,,,,9.226842880249023,,
SingleFixedStemBandit,RNNSeqBandModellingModule,99,4vxw0l1g,vocals,8.032278060913086,,,,9.120046138763428,,,
SingleFixedStemBandit,RNNSeqBandModellingModule,99,qtyn4z9v,other,,,,5.0507612228393555,,,,6.317817211151123
SingleFixedStemBandit,RNNSeqBandModellingModule,99,w86ixw22,bass,,,6.0818774700164795,,,,10.15232229232788,
VectorDictQueryBandit,RNNSeqBandModellingModule,99,7i7hesxl,vdbo,8.101706504821777,7.230313539505005,4.574038982391357,4.938402891159058,9.23339557647705,10.123128890991213,10.080836772918701,6.610894680023193
VectorDictQueryBandit,RNNSeqBandModellingModule,99,tt91ynoc,vdbgpwbpooo,,,,,8.457760334014893,9.89394187927246,9.761632442474365,-2.7701711654663086
