model_cls,tfmodel_cls,training_stems,pretrained_encoder,epoch,model,MoisesDB,MoisesDB,MoisesDB,MoisesDB,MoisesDB,MoisesDB,MoisesDB,MoisesDB,MoisesDB,MoisesDB,MoisesDB
,,,,,,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource
,,,,,,vocals,drums,bass,guitar,piano,wind,bowed_strings,percussion,other_keys,other_plucked,other
FixedStemBandit,MambaTFModel,vdbo,False,99,23wth3uc,6.97248911857605,7.593976020812988,7.719684362411499,,,,,,,,5.294092893600464
FixedStemBandit,RNNSeqBandModellingModule,vdbgpwbpooo,False,99,1neek7gq,7.003795385360718,8.815855026245117,8.577869415283203,2.7901477813720703,1.4971201419830322,-63.01520538330078,-76.77177047729492,0.02948111109435555,0.1971734166145324,-74.82884979248047,0.0
FixedStemBandit,RNNSeqBandModellingModule,vdbgpwbpooo,False,99,gpxb68eo,7.28445029258728,8.701753616333008,8.453306198120117,2.7440967559814453,1.7805845737457275,-78.43415832519531,-74.98902893066406,0.0161531987832859,0.4093464016914367,-77.06285858154297,0.0
FixedStemBandit,RNNSeqBandModellingModule,vdbgpwbpooo,False,99,h5fcofk0,6.779397010803223,8.687734603881836,8.635473251342773,2.7111566066741943,1.704938888549805,-63.28937339782715,-76.21090316772461,0.053414389491081196,0.2007581740617752,-72.26751708984375,0.0
FixedStemBandit,RNNSeqBandModellingModule,vdbgpwbpooo,False,99,uhnr1app,7.175473690032959,8.655233383178711,8.786988258361816,2.57061231136322,1.9603431224823,-61.25164794921875,-74.8641128540039,0.0149603467434644,0.1419503688812255,-73.19449615478516,0.0
FixedStemBandit,RNNSeqBandModellingModule,vdbgpwbpooo,True,99,69lnvw21,8.435692310333252,9.686351776123049,10.15643310546875,3.6911468505859375,2.2863926887512207,-55.53461456298828,-69.69639205932617,0.3898698538541794,0.2053024172782898,-62.25563049316406,0.0
FixedStemBandit,RNNSeqBandModellingModule,vdbgpwbpooo,True,99,gtq2g6z9,8.491110801696777,9.745990753173828,10.278680801391602,3.634982109069824,2.227969169616699,-60.45071792602539,-72.75374603271484,0.14503008872270579,0.4758662581443786,-67.63895797729492,0.0
FixedStemBandit,RNNSeqBandModellingModule,vdbgpwbpooo,True,99,pui49sm7,8.42012882232666,9.59872817993164,9.842408657073975,3.699155569076538,2.3546204566955566,-64.45552825927734,-74.53332901000977,0.24805220961570734,0.5954593420028687,-66.11093139648438,0.0
FixedStemBandit,RNNSeqBandModellingModule,vdbgpwbpooo,True,99,q601q181,8.61268424987793,9.802352905273438,9.952608108520508,3.66543185710907,2.285034418106079,-61.769039154052734,-76.30254364013672,0.289151132106781,0.4572247266769409,-70.37644958496094,0.0
FixedStemBandit,RNNSeqBandModellingModule,vdbo,False,99,xzslzg26,8.485019207000732,9.210914611816406,9.17497968673706,,,,,,,,6.097321271896362
FixedStemBandit,RNNSeqBandModellingModule,vdbo,False,249,3zkxq8iu,8.347711563110352,8.745634078979492,8.924577236175537,,,,,,,,5.758184909820557
FixedStemBandit,RoFormerTFModel,vdbo,False,99,3i6i6v60,8.403575897216797,9.333948135375977,9.601413249969482,,,,,,,,6.292947769165039
SingleFixedStemBandit,RNNSeqBandModellingModule,bass,False,99,w86ixw22,,,10.15232229232788,,,,,,,,
SingleFixedStemBandit,RNNSeqBandModellingModule,drums,False,99,2nbtce70,,9.226842880249023,,,,,,,,,
SingleFixedStemBandit,RNNSeqBandModellingModule,other,False,99,qtyn4z9v,,,,,,,,,,,6.317817211151123
SingleFixedStemBandit,RNNSeqBandModellingModule,vocals,False,99,4vxw0l1g,9.120046138763428,,,,,,,,,,
VectorDictQueryBandit,RNNSeqBandModellingModule,vdbgpwbpooo,True,99,tt91ynoc,8.457760334014893,9.89394187927246,9.761632442474365,3.9445639848709106,2.16530179977417,-54.8924674987793,-63.20177459716797,0.2441873028874397,0.3815969824790954,-66.81243515014648,-2.7701711654663086
VectorDictQueryBandit,RNNSeqBandModellingModule,vdbo,False,99,7i7hesxl,9.23339557647705,10.123128890991213,10.080836772918701,,,,,,,,6.610894680023193
