model_cls,tfmodel_cls,training_stems,pretrained_encoder,epoch,loss,training_set,model,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource,MoisesDBDatasource
,,,,,,,,vocals,drums,bass,other,vocals,drums,bass,guitar,piano,wind,bowed_strings,percussion,other_keys,other_plucked,other
FixedStemBandit,MambaTFModel,vdbo,False,99,l1snr,MUSDB18HQDatasource,prl820re,5.810509204864502,4.82681131362915,3.0162715911865234,3.8566200733184814,6.195253133773804,5.944849014282227,6.384817838668823,,,,,,,,4.110805511474609
FixedStemBandit,MambaTFModel,vdbo,False,99,l1snr,MoisesDBDatasource,23wth3uc,5.315457105636597,4.314856290817261,2.906096339225769,3.739332318305969,6.97248911857605,7.593976020812988,7.719684362411499,,,,,,,,5.294092893600464
FixedStemBandit,RNNSeqBandModellingModule,vdbgpwbpooo,False,99,l1snr,MoisesDBStemWiseDatasource,uhnr1app,,,,,7.175473690032959,8.655233383178711,8.786988258361816,2.57061231136322,1.9603431224823,-61.25164794921875,-74.8641128540039,0.0149603467434644,0.1419503688812255,-73.19449615478516,0.0
FixedStemBandit,RNNSeqBandModellingModule,vdbgpwbpooo,False,99,l1snr+dbm,MoisesDBStemWiseDatasource,gpxb68eo,,,,,7.28445029258728,8.701753616333008,8.453306198120117,2.7440967559814453,1.7805845737457275,-78.43415832519531,-74.98902893066406,0.0161531987832859,0.4093464016914367,-77.06285858154297,0.0
FixedStemBandit,RNNSeqBandModellingModule,vdbgpwbpooo,False,99,l1snrz+dbm,MoisesDBStemWiseDatasource,1neek7gq,,,,,7.003795385360718,8.815855026245117,8.577869415283203,2.7901477813720703,1.4971201419830322,-63.01520538330078,-76.77177047729492,0.02948111109435555,0.1971734166145324,-74.82884979248047,0.0
FixedStemBandit,RNNSeqBandModellingModule,vdbgpwbpooo,False,99,l1snrz+dbm,MoisesDBStemWiseDatasource,h5fcofk0,,,,,6.779397010803223,8.687734603881836,8.635473251342773,2.7111566066741943,1.704938888549805,-63.28937339782715,-76.21090316772461,0.053414389491081196,0.2007581740617752,-72.26751708984375,0.0
FixedStemBandit,RNNSeqBandModellingModule,vdbgpwbpooo,True,99,l1snr,MoisesDBStemWiseDatasource,69lnvw21,,,,,8.435692310333252,9.686351776123049,10.15643310546875,3.6911468505859375,2.2863926887512207,-55.53461456298828,-69.69639205932617,0.3898698538541794,0.2053024172782898,-62.25563049316406,0.0
FixedStemBandit,RNNSeqBandModellingModule,vdbgpwbpooo,True,99,l1snr+dbm,MoisesDBStemWiseDatasource,pui49sm7,,,,,8.42012882232666,9.59872817993164,9.842408657073975,3.699155569076538,2.3546204566955566,-64.45552825927734,-74.53332901000977,0.24805220961570734,0.5954593420028687,-66.11093139648438,0.0
FixedStemBandit,RNNSeqBandModellingModule,vdbgpwbpooo,True,99,l1snrz+dbm,MoisesDBStemWiseDatasource,gtq2g6z9,,,,,8.491110801696777,9.745990753173828,10.278680801391602,3.634982109069824,2.227969169616699,-60.45071792602539,-72.75374603271484,0.14503008872270579,0.4758662581443786,-67.63895797729492,0.0
