model_cls,tfmodel_cls,training_stems,pretrained_encoder,epoch,loss,training_set,model,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource,MUSDB18HQDatasource
,,,,,,,,vocals,drums,bass,other
FixedStemBandit,MambaTFModel,vdbo,False,99,l1snr,MUSDB18HQDatasource,prl820re,5.810509204864502,4.82681131362915,3.0162715911865234,3.8566200733184814
FixedStemBandit,MambaTFModel,vdbo,False,99,l1snr,MoisesDBDatasource,23wth3uc,5.315457105636597,4.314856290817261,2.906096339225769,3.739332318305969
FixedStemBandit,RNNSeqBandModellingModule,vdbo,False,99,l1snr,MUSDB18HQDatasource,zune532k,7.866928577423096,6.782519817352295,4.573858737945557,4.659509181976318
FixedStemBandit,RNNSeqBandModellingModule,vdbo,False,99,l1snr,MoisesDBDatasource,xzslzg26,7.71409273147583,6.42457914352417,4.882294178009033,4.5687737464904785
FixedStemBandit,RNNSeqBandModellingModule,vdbo,False,249,l1snr,MUSDB18HQDatasource,9qspypvq,7.64675235748291,5.989630937576294,3.7339261770248413,4.303083896636963
FixedStemBandit,RNNSeqBandModellingModule,vdbo,False,249,l1snr,MoisesDBDatasource,3zkxq8iu,7.327922821044922,5.691888809204102,4.18340539932251,4.385760307312012
FixedStemBandit,RoFormerTFModel,vdbo,False,99,l1snr,MUSDB18HQDatasource,0l0r6gav,7.193657398223877,7.731935262680054,5.516437530517578,4.970463275909424
FixedStemBandit,RoFormerTFModel,vdbo,False,99,l1snr,MoisesDBDatasource,3i6i6v60,7.476195812225342,7.101795434951782,5.196998119354248,4.756767511367798
SingleFixedStemBandit,RNNSeqBandModellingModule,bass,False,99,l1snr,MUSDB18HQDatasource,lhtpigg8,,,5.241244077682495,
SingleFixedStemBandit,RNNSeqBandModellingModule,bass,False,99,l1snr,MoisesDBDatasource,w86ixw22,,,6.0818774700164795,
SingleFixedStemBandit,RNNSeqBandModellingModule,drums,False,99,l1snr,MUSDB18HQDatasource,9rg6syhm,,6.682705879211426,,
SingleFixedStemBandit,RNNSeqBandModellingModule,drums,False,99,l1snr,MoisesDBDatasource,2nbtce70,,4.588663578033447,,
SingleFixedStemBandit,RNNSeqBandModellingModule,other,False,99,l1snr,MUSDB18HQDatasource,2tx9mc4f,,,,4.666107892990112
SingleFixedStemBandit,RNNSeqBandModellingModule,other,False,99,l1snr,MoisesDBDatasource,qtyn4z9v,,,,5.0507612228393555
SingleFixedStemBandit,RNNSeqBandModellingModule,vocals,False,99,l1snr,MUSDB18HQDatasource,gbsvyktp,8.029430389404297,,,
SingleFixedStemBandit,RNNSeqBandModellingModule,vocals,False,99,l1snr,MoisesDBDatasource,4vxw0l1g,8.032278060913086,,,
VectorDictQueryBandit,RNNSeqBandModellingModule,vdbo,False,99,l1snr,MUSDB18HQDatasource,zgjuty33,8.671333312988281,8.025301456451416,6.034418344497681,5.001115798950195
VectorDictQueryBandit,RNNSeqBandModellingModule,vdbo,False,99,l1snr,MoisesDBDatasource,7i7hesxl,8.101706504821777,7.230313539505005,4.574038982391357,4.938402891159058
VectorDictQueryBandit,RNNSeqBandModellingModule,vdbo,False,249,l1snr,MUSDB18HQDatasource,yqtx6ahs,8.063577651977539,7.179094076156616,5.069017171859741,5.018238067626953
