full_path,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-23.832853317260742,-0.41892844438552856,-0.41892844438552856,-26.434402465820312,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-26.246912002563477,8.35438346862793,8.35438346862793,-25.54774284362793,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-27.031620025634766,7.227696418762207,7.227696418762207,-26.8328857421875,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-20.479534149169922,7.656313419342041,7.656313419342041,-20.621871948242188,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-26.82874298095703,6.1485595703125,6.1485595703125,-25.08383560180664,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-24.630054473876953,9.150601387023926,9.150601387023926,-24.13593101501465,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-27.44800567626953,10.579580307006836,10.579580307006836,-27.389869689941406,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-25.81657600402832,5.399372577667236,5.399372577667236,-25.84140396118164,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-24.5606632232666,8.762105941772461,8.762105941772461,-24.466747283935547,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-33.446075439453125,2.8593273162841797,2.8593273162841797,-32.642887115478516,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Cristina Vane - So Easy.npz,-28.590505599975586,4.782975673675537,4.782975673675537,-27.728858947753906,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Detsky Sad - Walkie Talkie.npz,-32.374603271484375,2.474215030670166,2.474215030670166,-30.63587188720703,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Enda Reilly - Cur An Long Ag Seol.npz,-22.67388343811035,1.5572965145111084,1.5572965145111084,-24.61058807373047,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Forkupines - Semantics.npz,-29.366838455200195,3.882575035095215,3.882575035095215,-27.0882625579834,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Georgia Wonder - Siren.npz,-23.717845916748047,10.32730770111084,10.32730770111084,-23.65856170654297,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Girls Under Glass - We Feel Alright.npz,-26.140871047973633,2.3763113021850586,2.3763113021850586,-23.435840606689453,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Hollow Ground - Ill Fate.npz,-23.7320613861084,-1.384796380996704,-1.384796380996704,-24.077234268188477,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/James Elder & Mark M Thompson - The English Actor.npz,-29.954936981201172,5.464582443237305,5.464582443237305,-29.303224563598633,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Juliet's Rescue - Heartbeats.npz,-29.562576293945312,3.327679395675659,3.327679395675659,-29.020580291748047,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Little Chicago's Finest - My Own.npz,-33.891109466552734,10.519399642944336,10.519399642944336,-33.86530303955078,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Louis Cressy Band - Good Time.npz,-28.885086059570312,6.070384979248047,6.070384979248047,-28.876697540283203,w86ixw22,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Lyndsey Ollard - Catching Up.npz,-32.342552185058594,9.687320709228516,9.687320709228516,-32.517738342285156,w86ixw22,MUSDB18HQDatasource
