full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,drums/PredDecibel,drums/SNR,drums/SignalNoiseRatio,drums/TargetDecibel,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,other/PredDecibel,other/SNR,other/SignalNoiseRatio,other/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-25.035078048706055,8.822077751159668,8.822077751159668,-24.617992401123047,-24.354290008544922,4.933865070343018,4.933865070343018,-22.046003341674805,-23.87874412536621,-0.6745191812515259,-0.6745191812515259,-26.434402465820312,-27.10714340209961,0.00519571965560317,0.00519571965560317,-24.678516387939453,xzslzg26,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-23.821674346923828,6.473816871643066,6.473816871643066,-22.769804000854492,-29.545578002929688,3.9652786254882812,3.9652786254882812,-27.202722549438477,-26.436954498291016,6.788687229156494,6.788687229156494,-25.54774284362793,-25.383508682250977,1.660258173942566,1.660258173942566,-26.306720733642578,xzslzg26,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-23.199115753173828,10.079063415527344,10.079063415527344,-22.894981384277344,-27.887760162353516,4.629390716552734,4.629390716552734,-25.681669235229492,-27.00160026550293,6.603548049926758,6.603548049926758,-26.8328857421875,-22.5205135345459,6.179625511169434,6.179625511169434,-22.545547485351562,xzslzg26,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-25.628793716430664,9.433296203613281,9.433296203613281,-25.338279724121094,-23.796785354614258,0.4668552875518799,0.4668552875518799,-25.532638549804688,-20.556751251220703,5.736158847808838,5.736158847808838,-20.621871948242188,-24.516376495361328,2.9684300422668457,2.9684300422668457,-20.09284019470215,xzslzg26,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-28.867652893066406,4.220516204833984,4.220516204833984,-27.117050170898438,-22.790725708007812,9.214454650878906,9.214454650878906,-22.20934295654297,-26.531360626220703,5.572405815124512,5.572405815124512,-25.08383560180664,-24.904644012451172,2.987408399581909,2.987408399581909,-25.261470794677734,xzslzg26,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-25.655040740966797,10.88602066040039,10.88602066040039,-25.467731475830078,-26.03978729248047,6.205306053161621,6.205306053161621,-24.675865173339844,-24.06985092163086,7.70238733291626,7.70238733291626,-24.13593101501465,-28.13787269592285,5.606330394744873,5.606330394744873,-27.41593360900879,xzslzg26,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-30.21562385559082,4.709255218505859,4.709255218505859,-29.235307693481445,-27.721656799316406,6.739373207092285,6.739373207092285,-26.521894454956055,-27.50143051147461,8.765725135803223,8.765725135803223,-27.389869689941406,-27.153762817382812,4.644189834594727,4.644189834594727,-26.9068546295166,xzslzg26,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-27.32053565979004,9.264747619628906,9.264747619628906,-27.137468338012695,-30.03873062133789,4.882265090942383,4.882265090942383,-27.93985366821289,-25.100421905517578,4.095490455627441,4.095490455627441,-25.84140396118164,-27.951297760009766,3.7767317295074463,3.7767317295074463,-25.35013198852539,xzslzg26,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-29.05362319946289,4.546842575073242,4.546842575073242,-27.692447662353516,-22.14787483215332,8.8480224609375,8.8480224609375,-21.070451736450195,-24.16083335876465,6.833651542663574,6.833651542663574,-24.466747283935547,-24.148740768432617,4.861795902252197,4.861795902252197,-23.708232879638672,xzslzg26,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-24.428556442260742,6.652043342590332,6.652043342590332,-23.441585540771484,-28.04644012451172,5.661609649658203,5.661609649658203,-26.205772399902344,-31.993610382080078,1.4302585124969482,1.4302585124969482,-32.642887115478516,-23.81960678100586,5.246933460235596,5.246933460235596,-23.813495635986328,xzslzg26,MUSDB18HQDatasource
