full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,drums/PredDecibel,drums/SNR,drums/SignalNoiseRatio,drums/TargetDecibel,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,other/PredDecibel,other/SNR,other/SignalNoiseRatio,other/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-24.96288299560547,10.51314640045166,10.51314640045166,-24.617992401123047,-23.118494033813477,5.461245536804199,5.461245536804199,-22.046003341674805,-24.560710906982422,-0.2961805760860443,-0.2961805760860443,-26.434402465820312,-27.4095458984375,0.6704341173171997,0.6704341173171997,-24.678516387939453,yqtx6ahs,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-23.732635498046875,6.773669242858887,6.773669242858887,-22.769804000854492,-28.668258666992188,4.82254695892334,4.82254695892334,-27.202722549438477,-26.739364624023438,6.691912651062012,6.691912651062012,-25.54774284362793,-25.625181198120117,1.7261104583740234,1.7261104583740234,-26.306720733642578,yqtx6ahs,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-23.09612274169922,10.14834213256836,10.14834213256836,-22.894981384277344,-28.932476043701172,4.158132553100586,4.158132553100586,-25.681669235229492,-27.205795288085938,4.308239936828613,4.308239936828613,-26.8328857421875,-22.699657440185547,6.570914268493652,6.570914268493652,-22.545547485351562,yqtx6ahs,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-25.808839797973633,9.827898025512695,9.827898025512695,-25.338279724121094,-23.2601261138916,-0.22545164823532104,-0.22545164823532104,-25.532638549804688,-21.123126983642578,6.528418064117432,6.528418064117432,-20.621871948242188,-22.993343353271484,2.9721596240997314,2.9721596240997314,-20.09284019470215,yqtx6ahs,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-27.501070022583008,7.110356330871582,7.110356330871582,-27.117050170898438,-22.388742446899414,10.194208145141602,10.194208145141602,-22.20934295654297,-27.112205505371094,5.204680442810059,5.204680442810059,-25.08383560180664,-25.270479202270508,3.6166810989379883,3.6166810989379883,-25.261470794677734,yqtx6ahs,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-25.657306671142578,11.873401641845703,11.873401641845703,-25.467731475830078,-25.067747116088867,8.015909194946289,8.015909194946289,-24.675865173339844,-24.68780517578125,9.908055305480957,9.908055305480957,-24.13593101501465,-28.214414596557617,6.255729675292969,6.255729675292969,-27.415935516357422,yqtx6ahs,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-30.470199584960938,5.00086784362793,5.00086784362793,-29.235307693481445,-27.599559783935547,7.731819152832031,7.731819152832031,-26.521894454956055,-28.134477615356445,8.639410018920898,8.639410018920898,-27.389869689941406,-27.029338836669922,5.044851303100586,5.044851303100586,-26.9068546295166,yqtx6ahs,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-27.37363624572754,9.611053466796875,9.611053466796875,-27.137468338012695,-29.071104049682617,5.7284159660339355,5.7284159660339355,-27.93985366821289,-26.222190856933594,6.03862190246582,6.03862190246582,-25.84140396118164,-26.71553611755371,5.060579299926758,5.060579299926758,-25.35013198852539,yqtx6ahs,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-28.917217254638672,4.661335468292236,4.661335468292236,-27.692447662353516,-22.22322654724121,9.591520309448242,9.591520309448242,-21.070453643798828,-24.681978225708008,6.506880760192871,6.506880760192871,-24.466747283935547,-24.332359313964844,5.551453590393066,5.551453590393066,-23.708232879638672,yqtx6ahs,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-24.777912139892578,6.547971725463867,6.547971725463867,-23.441585540771484,-27.214920043945312,6.354131698608398,6.354131698608398,-26.205772399902344,-33.92652893066406,2.136918067932129,2.136918067932129,-32.64288330078125,-23.428316116333008,5.203965187072754,5.203965187072754,-23.813495635986328,yqtx6ahs,MUSDB18HQDatasource
