full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,drums/PredDecibel,drums/SNR,drums/SignalNoiseRatio,drums/TargetDecibel,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,other/PredDecibel,other/SNR,other/SignalNoiseRatio,other/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-24.941238403320312,10.707975387573242,10.707975387573242,-24.617992401123047,-22.941015243530273,5.519331932067871,5.519331932067871,-22.046003341674805,-24.67974853515625,-0.3508998453617096,-0.3508998453617096,-26.434402465820312,-28.012107849121094,0.6007695198059082,0.6007695198059082,-24.678516387939453,zgjuty33,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-23.69878578186035,6.849118709564209,6.849118709564209,-22.769804000854492,-28.50982666015625,4.918294429779053,4.918294429779053,-27.202722549438477,-26.608076095581055,7.201001167297363,7.201001167297363,-25.54774284362793,-25.954397201538086,2.0059680938720703,2.0059680938720703,-26.306720733642578,zgjuty33,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-23.235347747802734,10.386578559875488,10.386578559875488,-22.894981384277344,-27.577512741088867,5.424224853515625,5.424224853515625,-25.681669235229492,-27.365827560424805,6.777629375457764,6.777629375457764,-26.8328857421875,-22.732507705688477,6.756688594818115,6.756688594818115,-22.545547485351562,zgjuty33,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-25.773107528686523,9.977169036865234,9.977169036865234,-25.338279724121094,-21.95510482788086,-1.4543516635894775,-1.4543516635894775,-25.532638549804688,-20.4440975189209,6.9988203048706055,6.9988203048706055,-20.621871948242188,-26.5999698638916,1.9236741065979004,1.9236741065979004,-20.09284019470215,zgjuty33,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-27.709047317504883,6.921635150909424,6.921635150909424,-27.117050170898438,-22.393085479736328,10.560201644897461,10.560201644897461,-22.20934295654297,-26.067296981811523,7.147678375244141,7.147678375244141,-25.08383560180664,-25.661216735839844,4.710072040557861,4.710072040557861,-25.261470794677734,zgjuty33,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-25.683481216430664,11.523002624511719,11.523002624511719,-25.467731475830078,-25.05497169494629,8.29684829711914,8.29684829711914,-24.675865173339844,-24.54907989501953,10.474353790283203,10.474353790283203,-24.13593101501465,-28.306842803955078,6.235428333282471,6.235428333282471,-27.41593360900879,zgjuty33,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-30.588905334472656,5.257822036743164,5.257822036743164,-29.235307693481445,-27.128585815429688,8.122888565063477,8.122888565063477,-26.521894454956055,-27.632448196411133,9.484493255615234,9.484493255615234,-27.389869689941406,-27.319011688232422,5.280828475952148,5.280828475952148,-26.9068546295166,zgjuty33,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-27.401512145996094,9.519585609436035,9.519585609436035,-27.137468338012695,-28.809356689453125,6.09585428237915,6.09585428237915,-27.93985366821289,-25.81700325012207,5.894904613494873,5.894904613494873,-25.84140396118164,-27.20892333984375,4.761238098144531,4.761238098144531,-25.35013198852539,zgjuty33,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-28.574373245239258,4.2959699630737305,4.2959699630737305,-27.692447662353516,-21.490476608276367,11.5230131149292,11.5230131149292,-21.070451736450195,-24.483842849731445,8.491308212280273,8.491308212280273,-24.466747283935547,-24.75824737548828,5.861780166625977,5.861780166625977,-23.708232879638672,zgjuty33,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-24.652626037597656,6.955460071563721,6.955460071563721,-23.441585540771484,-26.85955810546875,6.917871475219727,6.917871475219727,-26.205772399902344,-34.202518463134766,2.48384428024292,2.48384428024292,-32.642887115478516,-23.7901668548584,5.7453813552856445,5.7453813552856445,-23.813495635986328,zgjuty33,MUSDB18HQDatasource
