full_path,vocals/PredDecibel,vocals/SNR,vocals/SignalNoiseRatio,vocals/TargetDecibel,drums/PredDecibel,drums/SNR,drums/SignalNoiseRatio,drums/TargetDecibel,bass/PredDecibel,bass/SNR,bass/SignalNoiseRatio,bass/TargetDecibel,other/PredDecibel,other/SNR,other/SignalNoiseRatio,other/TargetDecibel,model,test_set
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/AM Contra - Heart Peripheral.npz,-24.969377517700195,10.100542068481445,10.100542068481445,-24.617992401123047,-23.37104034423828,4.940123558044434,4.940123558044434,-22.046003341674805,-25.209590911865234,-0.2762557864189148,-0.2762557864189148,-26.434402465820312,-27.317787170410156,0.6311956644058228,0.6311956644058228,-24.678516387939453,zune532k,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Al James - Schoolboy Facination.npz,-23.630306243896484,6.8622541427612305,6.8622541427612305,-22.769804000854492,-28.86150360107422,4.446710109710693,4.446710109710693,-27.202722549438477,-26.406152725219727,7.1245622634887695,7.1245622634887695,-25.54774284362793,-26.411602020263672,2.222714424133301,2.222714424133301,-26.306720733642578,zune532k,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Angels In Amplifiers - I'm Alright.npz,-23.10307502746582,9.306146621704102,9.306146621704102,-22.894981384277344,-28.43768882751465,4.539529800415039,4.539529800415039,-25.681669235229492,-26.68433952331543,4.843308925628662,4.843308925628662,-26.8328857421875,-23.04612159729004,6.708920955657959,6.708920955657959,-22.545547485351562,zune532k,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Arise - Run Run Run.npz,-25.933700561523438,8.577404975891113,8.577404975891113,-25.338279724121094,-25.22730827331543,2.8407883644104004,2.8407883644104004,-25.532638549804688,-19.34640121459961,2.7218194007873535,2.7218194007873535,-20.621871948242188,-25.843761444091797,1.7926660776138306,1.7926660776138306,-20.09284019470215,zune532k,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Bulldozer.npz,-27.61751937866211,6.761013507843018,6.761013507843018,-27.117050170898438,-22.61397933959961,10.091907501220703,10.091907501220703,-22.20934295654297,-25.767343521118164,7.558380603790283,7.558380603790283,-25.08383560180664,-25.964345932006836,4.942008972167969,4.942008972167969,-25.261470794677734,zune532k,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/BKS - Too Much.npz,-25.688961029052734,11.524198532104492,11.524198532104492,-25.467731475830078,-25.29450225830078,8.091888427734375,8.091888427734375,-24.675865173339844,-24.520051956176758,10.138364791870117,10.138364791870117,-24.13593101501465,-28.33218002319336,5.851571559906006,5.851571559906006,-27.41593360900879,zune532k,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Ben Carrigan - We'll Talk About It All Tonight.npz,-30.88763999938965,4.95650577545166,4.95650577545166,-29.235307693481445,-27.78453826904297,7.373465538024902,7.373465538024902,-26.521894454956055,-27.63867950439453,8.705968856811523,8.705968856811523,-27.389869689941406,-27.10092544555664,4.567702293395996,4.567702293395996,-26.9068546295166,zune532k,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Bobby Nobody - Stitch Up.npz,-27.390764236450195,9.27574348449707,9.27574348449707,-27.137468338012695,-29.790035247802734,5.143937110900879,5.143937110900879,-27.93985366821289,-25.152807235717773,4.632785797119141,4.632785797119141,-25.84140396118164,-27.67226219177246,4.2473602294921875,4.2473602294921875,-25.35013198852539,zune532k,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Buitraker - Revo X.npz,-28.492721557617188,4.238008499145508,4.238008499145508,-27.692447662353516,-21.887752532958984,10.096087455749512,10.096087455749512,-21.070451736450195,-24.63167381286621,7.317597389221191,7.317597389221191,-24.466747283935547,-24.73607635498047,5.688924789428711,5.688924789428711,-23.708232879638672,zune532k,MUSDB18HQDatasource
/home/hice1/kwatchar3/Documents/data/musdb18hq/intermediates/npz/test/Carlos Gonzalez - A Place For Us.npz,-24.674095153808594,6.386021614074707,6.386021614074707,-23.441585540771484,-27.367023468017578,6.318300247192383,6.318300247192383,-26.205772399902344,-34.08169174194336,2.4127144813537598,2.4127144813537598,-32.642887115478516,-23.70697021484375,4.982633590698242,4.982633590698242,-23.813495635986328,zune532k,MUSDB18HQDatasource
